Statute,Merit,Settled,Settled_Other,Total_Positive_Outcomes_for_Complainants,Dismissed,Kick_Out,Withdrawn,Total_Determinations,Fiscal_Year
ACA,0,1,1,2,13,0,9,24,2015
AHERA,1,0,1,2,1,0,0,3,2015
AIR21,5,12,8,25,71,0,28,124,2015
CFPA,0,3,8,11,18,4,7,40,2015
CPSIA,0,1,0,1,11,1,0,13,2015
EPA,0,11,7,18,28,0,9,55,2015
ERA,4,2,6,12,18,5,8,43,2015
FRSA,12,25,40,77,192,56,58,383,2015
FSMA,0,5,3,8,23,1,15,47,2015
ISCA,0,0,0,0,0,0,0,0,2015
MAP21,0,0,2,2,4,0,3,9,2015
NTSSA,1,0,0,1,8,1,1,11,2015
OSHA,17,361,179,557,963,0,461,1981,2015
PSIA,0,2,0,2,6,0,0,8,2015
SOX,1,2,20,23,82,20,30,155,2015
SPA,0,1,0,1,5,0,3,9,2015
STAA,4,59,38,101,222,18,91,432,2015
